code	in_dalarna_excel	in_blomma_json	in_vault
AAR29B	1	1	1
AB1005	1	1	1
AB1006	1	1	1
AB1009	1	1	1
AB1011	1	1	1
AB1014	1	1	1
AB1015	1	1	1
AB1016	1	1	1
AB1019	1	1	1
AB1022	1	1	1
AB1024	1	1	1
AB1025	1	1	1
AB1026	1	1	1
AB1027	1	1	1
AB1028	1	1	1
AB1029	1	1	1
AB1030	1	1	1
AB1031	1	1	1
AB1032	1	1	1
AB1033	1	1	1
AB3001	1	1	1
ABP253	1	1	1
ABP254	1	1	1
ABQ2AM	1	1	1
ABQ2AZ	1	1	1
ABQ2B2	1	1	1
ABQ2B3	1	1	1
ABQ2B4	1	1	1
ABY22V	1	1	1
ABY22W	1	1	1
ABY27W	1	1	1
ABY2BL	1	1	1
ADT22Y	0	1	0
AEG225	1	1	1
AEG22R	1	1	1
AEG233	1	1	1
AEG26X	1	1	1
AEG294	1	1	1
AEG29N	1	1	1
AEG2AK	1	1	1
AEG2AL	1	1	1
AEG2AP	1	1	1
AEG2AQ	1	1	1
AEG2AR	1	1	1
AEG2AS	1	1	1
AEG2AT	1	1	1
AEG2AU	1	1	1
AEG2AV	1	1	1
AEG2AW	1	1	1
AEG2AX	1	1	1
AEG2AY	1	1	1
AEG2B5	1	1	1
AEG2B6	1	1	1
AEG2C4	1	1	1
AEG2C5	1	1	1
AEN252	1	1	1
AEN25H	1	1	1
AEN25J	1	1	1
AEN25S	1	1	1
AEN26E	1	1	1
AEN299	1	1	1
AEN29A	1	1	1
AEN29C	1	1	1
AEN2BP	1	1	1
AEN2BQ	1	1	1
AEN2BR	1	1	1
AEN2BS	1	1	1
AEN2BT	1	1	1
AEN2BU	1	1	1
AEN2BV	1	1	1
AEN2BW	1	1	1
AEN2BX	1	1	1
AEN2BY	1	1	1
AEN2BZ	1	1	1
AEN2C2	1	1	1
AFI273	1	1	1
AFR236	1	1	1
AFR24A	1	1	1
AFR24B	1	1	1
AFR24Z	1	1	1
AFR26Q	1	1	1
AFR26R	1	1	1
AFR27P	1	1	1
AFR298	1	1	1
AFR29D	1	1	1
AFR2A8	1	1	1
AFT2C8	1	1	1
AFT2C9	1	1	1
AFT2CA	1	1	1
AFT2CB	1	1	1
AFÖ26H	1	1	0
AHI23V	1	1	1
AHI23W	1	1	1
AHI263	1	1	1
AHI26P	1	1	1
AHI272	1	1	1
AHI29P	1	1	1
AHI29Q	1	1	1
AHI29R	1	1	1
AIH237	1	1	1
AIH24T	1	1	1
AIK232	1	1	1
AJP23N	1	1	1
AJP23P	1	1	1
AJP23Q	1	1	1
AJP23R	1	1	1
AJP25X	1	1	1
AJP264	1	1	1
AJP26Z	1	1	1
AJP278	1	1	1
AJP279	1	1	1
AJP27A	1	1	1
AJP27B	1	1	1
AJP287	1	1	1
AJP2A9	1	1	1
AJP2AG	1	1	1
AJP2AH	1	1	1
AKG27R	1	1	1
AKI25K	1	1	1
AKI28Y	1	1	1
AKI28Z	1	1	1
AKI292	1	1	1
AKI2BN	1	1	1
AMC22C	1	1	1
AMC243	1	1	1
AMC24R	1	1	1
AMC25W	1	1	1
AMC265	1	1	1
AMC288	1	1	1
AMC28N	1	1	0
AMC29F	1	1	0
AMC29Y	1	1	1
AMC2A7	1	1	1
AMC2AE	1	1	0
AMC2BG	1	1	1
AMD238	1	1	1
AMD239	1	1	1
AMI22T	1	1	1
AMI22Z	1	1	1
AMI23A	1	1	1
AMI23C	1	1	1
AMI23G	1	1	1
AMI23J	1	1	1
AMI23K	1	1	1
AMI23L	1	1	1
AMI27V	1	1	1
AMI295	1	1	1
ANA235	1	1	1
APE26A	0	1	0
