Utbildningsområde per kurs (Ladok);;;;;;
Uppdaterad tisdag 3 mars 2026;;;;;;
Kurskod;Kursnamn;HP;Utbildningsområde;UtbOmrKod;Andel (%);Giltig fr.o.m.
AAR29B;Interkulturella litteraturstudier: Magisterexamensarbete;15;Humanistiska området;HU;100;HT2023
AB1005;Professionell förhandling på arbetsplatsen;7,5;Samhällsvetenskapliga området;SA;100;HT2018
AB1006;Professionell kommunikation - med och i grupper;7,5;Samhällsvetenskapliga området;SA;100;VT2021
AB1009;Perspektiv på utvecklingsarbete i arbetslivet;7,5;Samhällsvetenskapliga området;SA;100;VT2010
AB1011;Kommunikation och ledarskap för tekniker;7,5;Samhällsvetenskapliga området;SA;100;VT2010
AB1014;Ledarskap för ökat resultat i företaget;10;Samhällsvetenskapliga området;SA;100;VT2011
AB1015;Verksamhetsutveckling genom ordning och reda på arbetsplatsen;7,5;Samhällsvetenskapliga området;SA;100;HT2011
AB1016;Arbetsmiljö - grundkurs;7,5;Samhällsvetenskapliga området;SA;50;VT2019
AB1016;Arbetsmiljö - grundkurs;7,5;Tekniska området;TE;50;VT2019
AB1019;Att vara chef i kommunal verksamhet;10;Samhällsvetenskapliga området;SA;100;VT2013
AB1022;Rekrytering - krav och kriterier;1,5;Samhällsvetenskapliga området;SA;100;HT2013
AB1024;Kreativitet - vägen till en bärande idé;1,5;Samhällsvetenskapliga området;SA;100;VT2014
AB1025;Ledarskap för effektivt samarbete;7,5;Samhällsvetenskapliga området;SA;100;HT2018
AB1026;Personligt ledarskap;5;Samhällsvetenskapliga området;SA;100;HT2014
AB1027;Ledarskap för ökat resultat;10;Samhällsvetenskapliga området;SA;100;HT2014
AB1028;Ledarskap för att motivera grupper;7,5;Samhällsvetenskapliga området;SA;100;VT2015
AB1029;Introduktion till Professionell kommunikation - mer än bara samtal;7,5;Samhällsvetenskapliga området;SA;100;HT2018
AB1030;Att arbeta i projekt;7,5;Samhällsvetenskapliga området;SA;100;HT2018
AB1031;Professionell utveckling - genom fokus på kollektivt lärande;7,5;Samhällsvetenskapliga området;SA;100;HT2021
AB1032;Personligt ledarskap;7,5;Samhällsvetenskapliga området;SA;100;VT2018
AB1033;Bemöta, bedöma, berika: Ett normkritiskt perspektiv på genus och mångfald för utveckling och innovation i företag;7,5;Samhällsvetenskapliga området;SA;100;VT2018
AB3001;Lärande utvärdering/följeforskning av utvecklingsprojekt;7,5;Samhällsvetenskapliga området;SA;100;VT2010
ABP253;Examensarbete i bild för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Övriga områden;ÖV;100;VT2020
ABP254;Examensarbete i bild för ämneslärarexamen, inriktning gymnasieskolan;30;Övriga områden;ÖV;100;VT2020
ABQ2AM;Kreativ kodning;7,5;Mediaområdet;MM;100;HT2024
ABQ2AZ;Audiovisuella produktionsprocesser;15;Mediaområdet;MM;100;HT2024
ABQ2B2;Audiovisuella studier: Kunskapsproduktion genom gestaltning;15;Mediaområdet;MM;100;HT2024
ABQ2B3;Introduktion till magisterexamensarbete i Audiovisuella studier;7,5;Mediaområdet;MM;100;HT2024
ABQ2B4;Magisterexamensarbete i Audiovisuella studier;15;Mediaområdet;MM;100;HT2024
ABY22V;Energieffektiva installationssystem;5;Tekniska området;TE;100;VT2019
ABY22W;Byggnaders energiprestanda - simulering och analys;5;Tekniska området;TE;100;VT2019
ABY27W;Introduktion till bioklimatisk design;2,5;Tekniska området;TE;100;VT2022
ABY2BL;Hållbar samhällsplanering;7,5;Tekniska området;TE;100;VT2025
ADT22Y;Etisk hackning;7,5;Tekniska området;TE;100;VT2019
AEG225;Solenergins ekonomi;2,5;Tekniska området;TE;100;HT2018
AEG22R;Tillämpad solenergiteknik;7,5;Tekniska området;TE;100;VT2019
AEG233;Solel;7,5;Tekniska området;TE;100;HT2019
AEG26X;Design av PV- och hybridsystem;7,5;Tekniska området;TE;100;VT2021
AEG294;Energipositiva stadsdelar;3;Tekniska området;TE;100;HT2023
AEG29N;Solcellsteknik;7,5;Tekniska området;TE;100;HT2023
AEG2AK;Projektkurs 1 - dataanalys för solenergisystem;5;Tekniska området;TE;100;HT2024
