kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
AAR29B,Interkulturella litteraturstudier: Magisterexamensarbete,ISLL,ARA,1,0,1,1,0,triangulerad
AB1001,,,,0,0,0,0,1,enbart_nedlagd
AB1002,,,,0,0,0,0,1,enbart_nedlagd
AB1003,,,,0,0,0,0,1,enbart_nedlagd
AB1004,,,,0,0,0,0,1,enbart_nedlagd
AB1005,Professionell förhandling på arbetsplatsen,IKS,ABA,1,0,1,1,0,triangulerad
AB1006,Professionell kommunikation - med och i grupper,IKS,ABA,1,0,1,1,0,triangulerad
AB1007,,,,0,0,0,0,1,enbart_nedlagd
AB1008,,,,0,0,0,0,1,enbart_nedlagd
AB1009,Perspektiv på utvecklingsarbete i arbetslivet,IKS,ABA,1,0,1,1,0,triangulerad
AB1010,,,,0,0,0,0,1,enbart_nedlagd
AB1011,Kommunikation och ledarskap för tekniker,IKS,ABA,1,0,1,1,0,triangulerad
AB1012,,,,0,0,0,0,1,enbart_nedlagd
AB1013,,,,0,0,0,0,1,enbart_nedlagd
AB1014,Ledarskap för ökat resultat i företaget,IKS,ABA,1,0,1,1,0,triangulerad
AB1015,Verksamhetsutveckling genom ordning och reda på arbetsplatsen,IKS,ABA,1,0,1,1,0,triangulerad
AB1016,Arbetsmiljö - grundkurs,IKS,ABA,1,0,1,1,0,triangulerad
AB1017,,,,0,0,0,0,1,enbart_nedlagd
AB1018,,,,0,0,0,0,1,enbart_nedlagd
AB1019,Att vara chef i kommunal verksamhet,IKS,ABA,1,0,1,1,0,triangulerad
AB1020,,,,0,0,0,0,1,enbart_nedlagd
AB1021,,,,0,0,0,0,1,enbart_nedlagd
AB1022,Rekrytering - krav och kriterier,IKS,ABA,1,0,1,1,0,triangulerad
AB1023,,,,0,0,0,0,1,enbart_nedlagd
AB1024,Kreativitet - vägen till en bärande idé,IKS,ABA,1,0,1,1,0,triangulerad
AB1025,Ledarskap för effektivt samarbete,IKS,ABA,1,0,1,1,0,triangulerad
AB1026,Personligt ledarskap,IKS,ABA,1,0,1,1,0,triangulerad
AB1027,Ledarskap för ökat resultat,IKS,ABA,1,0,1,1,0,triangulerad
AB1028,Ledarskap för att motivera grupper,IKS,ABA,1,0,1,1,0,triangulerad
AB1029,Introduktion till Professionell kommunikation - mer än bara samtal,IKS,ABA,1,0,1,1,0,triangulerad
AB1030,Att arbeta i projekt,IKS,ABA,1,0,1,1,0,triangulerad
AB1031,Professionell utveckling - genom fokus på kollektivt lärande,IKS,ABA,1,0,1,1,0,triangulerad
AB1032,Personligt ledarskap,IKS,ABA,1,0,1,1,0,triangulerad
AB1033,"Bemöta, bedöma, berika: Ett normkritiskt perspektiv på genus och mångfald för utveckling och innovation i företag",IKS,ABA,1,0,1,1,0,triangulerad
AB3001,Lärande utvärdering/följeforskning av utvecklingsprojekt,IKS,ABA,1,0,1,1,0,triangulerad
ABP22A,,,,0,0,0,0,1,enbart_nedlagd
ABP253,"Examensarbete i bild för ämneslärarexamen, inriktning grundskolans årskurs 7-9",IKS,BIL,1,0,1,1,0,triangulerad
ABP254,"Examensarbete i bild för ämneslärarexamen, inriktning gymnasieskolan",IKS,BIL,1,0,1,1,0,triangulerad
ABQ2AM,Kreativ kodning,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2AZ,Audiovisuella produktionsprocesser,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2B2,Audiovisuella studier: Kunskapsproduktion genom gestaltning,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2B3,Introduktion till magisterexamensarbete i Audiovisuella studier,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2B4,Magisterexamensarbete i Audiovisuella studier,IKS,BPO,1,0,1,1,0,triangulerad
ABY223,,,,0,0,0,0,1,enbart_nedlagd
ABY226,,,,0,0,0,0,1,enbart_nedlagd
ABY22U,,,,0,0,0,0,1,enbart_nedlagd
ABY22V,Energieffektiva installationssystem,IIT,BYA,1,0,1,1,0,triangulerad
ABY22W,Byggnaders energiprestanda - simulering och analys,IIT,BYA,1,0,1,1,0,triangulerad
ABY27W,Introduktion till bioklimatisk design,IIT,BYA,1,0,1,1,0,triangulerad
ABY2BL,Hållbar samhällsplanering,IIT,BYA,1,0,1,1,0,triangulerad
ADT22Y,,,,0,0,1,0,1,blomma_historik_arkiverad
AEG225,Solenergins ekonomi,IIT,MÖY,1,0,1,1,0,triangulerad
AEG22R,Tillämpad solenergiteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG233,Solel,IIT,MÖY,1,0,1,1,0,triangulerad
AEG234,,,,0,0,0,0,1,enbart_nedlagd
AEG23H,,,,0,0,0,0,1,enbart_nedlagd
AEG26X,Design av PV- och hybridsystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG294,Energipositiva stadsdelar,IIT,MÖY,1,0,1,1,0,triangulerad
AEG29N,Solcellsteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AK,Projektkurs 1 - dataanalys för solenergisystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AL,Solcellsteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AN,,,,0,0,0,0,1,enbart_nedlagd
AEG2AP,Solenergins ekonomi och förvaltning av solcellssystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AQ,Samhällets energiomställning,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AR,Elektrisk lagrings- och omvandlingsteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AS,Design av hållbara värmesystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AT,Design av nätkopplade solcellssystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AU,Projektkurs 2 - mätsystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AV,Hållbarhet hos solenergisystem,IIT,MÖY,1,0,1,1,0,triangulerad
